id,ticker,publisher,title,author,date,description,sentiment,sentiment_reasoning
166df6c077fc99e34026f29bb982d1891d5bdf1a9b5880800811eee542815937,GOOG,The Motley Fool,"Investment Manager Downsizes Position in Global Electronics Supplier, According to Recent SEC Filing",Jake Lerch,2026-02-17,"Segall Bryant & Hamill, LLC reduced its Littelfuse holding by 20,392 shares (~$5.19 million) in Q4 2025. Despite the position reduction, Littelfuse stock has surged 47% over the past year, driven by AI demand for circuit protection and power management solutions. Analysts expect 21% revenue growth in 2026, though current trailing 12-month revenue remains 5% below three-year-ago levels.",neutral,"Listed as a top holding ($119.36 million, 1.6% of AUM) but no specific news or sentiment drivers related to this transaction are discussed in the article."
fb7d472e69e0e880e24b5d3b32b9b12f533654a2a451d7327701e6dbf16120c2,GOOG,The Motley Fool,3 Risks Investors Should Watch With CoreWeave Over the Next 3 Years,Lawrence Nga,2026-02-17,"CoreWeave, a key player in AI infrastructure, faces three structural risks over the next three years: hyperscalers like AWS, Azure, and Google Cloud becoming 'good enough' competitors, persistent high capital intensity limiting returns on invested capital, and large customers like OpenAI and Meta potentially insourcing more compute as supply constraints ease. While the company operates in an attractive market, these risks could gradually erode competitive positioning and customer leverage.",positive,Google Cloud is mentioned as a hyperscaler competitor with the capability to improve AI-specific offerings and reduce CoreWeave's competitive differentiation.
cde4cdda3d28efec940eaa555e5978d4e8654fc8ca4fd4d10498c00b65c76888,GOOG,GlobeNewswire Inc.,"Autonomous Vehicles Strategic Intelligence Report 2025: Market to Consolidate Around a Small Set of Well-capitalized First Movers-especially Baidu (Apollo Go), Waymo, Zoox, WeRide, and Pony.ai",Researchandmarkets.Com,2026-02-17,"The autonomous vehicle market is consolidating around a few well-capitalized leaders including Baidu, Waymo, Zoox, WeRide, and Pony.ai. Global robotaxi fleets are expected to exceed 10,000 Level 4 capable vehicles by end of 2025, with growth concentrated in China, parts of the US, and Gulf states. Level 5 autonomy remains a distant goal, while Level 2 ADAS is becoming standard. China has tightened regulations following safety incidents, requiring OTA approval and restricting autonomous driving marketing claims.",positive,"Parent company of Waymo, which is identified as a key first-mover leader in the robotaxi market consolidation."
1bdbfeb4de1abf70a02cfc47167fb7b6898d87ac97bb8c3e85e4e2b103f9a395,GOOG,The Motley Fool,2 Brilliant Growth Stocks to Buy Now and Hold for the Long Term,Will Healy,2026-02-17,"The article recommends Alphabet and MercadoLibre as long-term growth stocks worth buying during current market pullbacks. Alphabet's massive capital expenditures ($175-185B in 2026) are justified by strong free cash flow generation and AI leadership through Gemini and Waymo. MercadoLibre, Latin America's leading e-commerce platform, faces near-term headwinds from competition and loan losses but trades at attractive valuations with potential for recovery through AI-driven loan management and regional economic growth.",positive,"Strong financial position with $127B liquidity and $73B free cash flow generation. Revenue grew 15% to $403B with net income up 32% despite high capex spending. P/E ratio of 28 is below S&P 500 average. AI initiatives (Gemini, Waymo) position company for continued growth despite near-term cost concerns."
a1857295e27e17c65119d096c25548d195529c984f6e76977762fa70669dca58,GOOG,The Motley Fool,"Billionaire Investor Bill Ackman Just Dumped His Fund's Stake in Hilton and Piled Into a ""Magnificent Seven"" Stock Trading at a ""Deeply Discounted Valuation.""",Bram Berkowitz,2026-02-17,"Bill Ackman's Pershing Square Capital Management exited its long-term position in Hilton Hotels due to valuation concerns, and invested approximately $2 billion in Meta Platforms as a new position representing 10% of the fund's capital. Ackman believes Meta's high AI capital expenditures are masking its long-term potential and that the stock trades at a deeply discounted valuation for a world-class business.",neutral,"Mentioned as one of three Magnificent Seven holdings in Pershing's portfolio, but no new position changes or specific commentary provided in the article."
a8ff48c8dc7260425689a8e80f441c977e41a91a97bf060dea9a63f8901c6b4b,GOOG,The Motley Fool,Subscription Prices Are Going Up Again,Motley Fool Staff,2026-02-17,"Subscription services like Spotify, Netflix, and Disney+ are raising prices again, successfully improving profitability despite concerns about unlimited pricing power. Meanwhile, retail sales came in below expectations at 2.4% growth, reflecting a K-shaped economy where wealthy consumers drive spending while lower-income households struggle. Unity Software plummeted 30% after providing weak guidance despite beating earnings, as investors fear AI disruption from tools like Google's Project Genie.",neutral,"Unveiled Project Genie, a generative AI prototype creating interactive world models, which sparked concerns about potential disruption to game development platforms like Unity."
b43356a2ef8c912db420e8f4b13bc7e98babd3fab057b58c184fdef8b1caeecf,GOOG,The Motley Fool,AI Capital Expenditure (Capex) Is Off the Charts: Who Stands to Lose?,Motley Fool Staff,2026-02-17,"Big Tech companies are spending approximately $400 billion on AI infrastructure over four quarters in a 'scorched earth' competition to dominate AI. While companies like Alphabet are using massive spending to prevent disruption, concerns arise about whether this spending will generate adequate returns. Companies like CoreWeave face higher bankruptcy risk due to heavy debt reliance, while Oracle's strategy is more sustainable given its stable business foundation, though it remains expensive at current valuations.",positive,"Spending $180 billion to prevent disruption from competitors like OpenAI. Strategy is described as 'scorched earth' to ensure no one can disrupt them, with momentum in Gemini and AI search integration. Strong cash flows support the spending."
3afb0f40180347d116dbfdac674a4178250a0f2f83d3d4cbd113739959ecb363,GOOG,Investing.com,Meta Platforms Stock Slides After Earnings Pop as Ackman Builds $2B Stake,Leo Miller,2026-02-17,"Meta Platforms stock surged over 10% following strong January earnings but has since given back all gains, closing near $640 on Feb. 13 despite forecasting 30% revenue growth. Billionaire Bill Ackman's Pershing Square Capital Management has built a $2 billion stake (10% of capital), purchasing at an average price of $625, signaling confidence in Meta's AI-driven advertising strategy and long-term upside potential.",neutral,"Mentioned as a hyperscaler competitor that has more clearly demonstrated AI investment gains through its cloud business, but no specific positive or negative developments are discussed in the article."
400e624360a2bbea7049cc6503fa74646d15ce24f74727c08c664b4a81ddbf85,GOOG,Benzinga,Unilever Taps Google's AI To Reinvent How We Shop Everyday Brands,Lekha Gupta,2026-02-17,"Unilever announced a transformative five-year partnership with Google Cloud to revolutionize consumer goods through advanced AI and data technologies. The collaboration will migrate Unilever's data and cloud platforms to Google Cloud, establishing an AI-first digital infrastructure focused on agentic commerce, integrated data systems, and advanced AI to enhance brand discovery, consumer engagement, and market agility.",positive,"Google Cloud is securing a significant five-year partnership with a major multinational corporation, demonstrating confidence in its AI capabilities and expanding its enterprise customer base in the consumer packaged goods sector."
4a7889a6573989683f55b8426569010af834bcf0c1c75fe2b3958062f8cd87be,GOOG,The Motley Fool,Billionaire Bill Ackman Is Betting Big on AI -- and He Just Revealed a New $2 Billion Investment,Sean Williams,2026-02-17,"Billionaire investor Bill Ackman revealed a $2 billion investment in Meta Platforms through his fund Pershing Square Capital Management, making it his fourth-largest holding. Over half of Ackman's portfolio is now invested in AI stocks, including Uber, Alphabet, Amazon, and Meta. Ackman believes Meta's AI-enhanced advertising platform and social media dominance represent an undervalued opportunity with strong long-term growth potential.",positive,"Described as the hottest Magnificent Seven component with strong AI integration into Google Cloud. Google Cloud sales rose 48% in Q4, representing a high-margin operating segment with accelerated growth from AI tools."
166df6c077fc99e34026f29bb982d1891d5bdf1a9b5880800811eee542815937,MSFT,The Motley Fool,"Investment Manager Downsizes Position in Global Electronics Supplier, According to Recent SEC Filing",Jake Lerch,2026-02-17,"Segall Bryant & Hamill, LLC reduced its Littelfuse holding by 20,392 shares (~$5.19 million) in Q4 2025. Despite the position reduction, Littelfuse stock has surged 47% over the past year, driven by AI demand for circuit protection and power management solutions. Analysts expect 21% revenue growth in 2026, though current trailing 12-month revenue remains 5% below three-year-ago levels.",neutral,"Listed as a top holding ($115.39 million, 1.6% of AUM) but no specific news or sentiment drivers related to this transaction are discussed in the article."
fb7d472e69e0e880e24b5d3b32b9b12f533654a2a451d7327701e6dbf16120c2,MSFT,The Motley Fool,3 Risks Investors Should Watch With CoreWeave Over the Next 3 Years,Lawrence Nga,2026-02-17,"CoreWeave, a key player in AI infrastructure, faces three structural risks over the next three years: hyperscalers like AWS, Azure, and Google Cloud becoming 'good enough' competitors, persistent high capital intensity limiting returns on invested capital, and large customers like OpenAI and Meta potentially insourcing more compute as supply constraints ease. While the company operates in an attractive market, these risks could gradually erode competitive positioning and customer leverage.",positive,"Microsoft Azure is identified as a hyperscaler competitor with the resources to invest aggressively in AI infrastructure and potentially insource compute, threatening CoreWeave's customer relationships."
dd07edaae54b691d094e2ca61e3215f6355e61df6c16bc2fa9e3bb3299743cc3,MSFT,GlobeNewswire Inc.,Aptean lance la nouvelle génération de technologies pour la mode et l’habillement – une IA qui redonne aux marques un contrôle total,Unknown,2026-02-17,"Aptean announced the launch of Aptean Fashion & Apparel, an AI-powered operations solution built on Microsoft Dynamics 365 Business Central and AppCentral. The platform uses agentic AI to enable real-time decision-making for fashion and apparel brands, automating complex workflows from design to delivery and helping companies accelerate time-to-market while protecting profit margins.",positive,"Microsoft Dynamics 365 Business Central is featured as the foundational ERP platform for Aptean's new solution, positioning Microsoft's enterprise software as a key component of a next-generation industry-specific offering."
1e4daf6c5d8d40f2f21ea60fa852f730c711a2de571c03f655112c8bb4987902,MSFT,GlobeNewswire Inc.,Aptean Launches the Next Generation of Fashion & Apparel Technology - AI that Puts Brands Fully in Control,Unknown,2026-02-17,"Aptean announced the launch of Aptean Fashion & Apparel, an AI-powered operations solution built on Microsoft Dynamics 365 Business Central and AppCentral. The platform uses agentic AI to automate decisions and workflows in the fashion industry, helping brands accelerate time-to-market, improve margins, and gain real-time operational visibility across design, sourcing, production, and delivery.",positive,"Microsoft's Dynamics 365 Business Central is selected as the foundational ERP platform for Aptean Fashion & Apparel, indicating continued enterprise adoption and validation of Microsoft's cloud-based business solutions. This partnership demonstrates confidence in Microsoft's platform for industry-specific applications."
8bb451d1773295aae693d79173ff78d87d69d05de5d641fcaf842348f4e39d7b,MSFT,Investing.com,S&P 500: The New Fear Trade Sweeps Through Software Stocks,David Moenning,2026-02-17,"The article argues that a 'fear trade' is sweeping through software stocks, driven by concerns about AI disruption despite strong earnings and positive guidance. Software stocks have fallen over 30% since November amid record short selling, but Wall Street analysts project 19% earnings growth for 2026. The author suggests this represents a buying opportunity, comparing it to the failed 'Tariff Tantrum' scare trade of spring 2025.",positive,"Trading at PE of 25.01, below its 5-year average of 33.1, presenting a valuation opportunity despite being caught in the AI fear trade. Strong fundamentals and earnings guidance support long-term investment potential."
b43356a2ef8c912db420e8f4b13bc7e98babd3fab057b58c184fdef8b1caeecf,MSFT,The Motley Fool,AI Capital Expenditure (Capex) Is Off the Charts: Who Stands to Lose?,Motley Fool Staff,2026-02-17,"Big Tech companies are spending approximately $400 billion on AI infrastructure over four quarters in a 'scorched earth' competition to dominate AI. While companies like Alphabet are using massive spending to prevent disruption, concerns arise about whether this spending will generate adequate returns. Companies like CoreWeave face higher bankruptcy risk due to heavy debt reliance, while Oracle's strategy is more sustainable given its stable business foundation, though it remains expensive at current valuations.",neutral,Necessary spending to grow Azure and maintain partnership with OpenAI. Rational investment but tied to OpenAI's success and competitive threats from Alphabet.
3afb0f40180347d116dbfdac674a4178250a0f2f83d3d4cbd113739959ecb363,MSFT,Investing.com,Meta Platforms Stock Slides After Earnings Pop as Ackman Builds $2B Stake,Leo Miller,2026-02-17,"Meta Platforms stock surged over 10% following strong January earnings but has since given back all gains, closing near $640 on Feb. 13 despite forecasting 30% revenue growth. Billionaire Bill Ackman's Pershing Square Capital Management has built a $2 billion stake (10% of capital), purchasing at an average price of $625, signaling confidence in Meta's AI-driven advertising strategy and long-term upside potential.",neutral,"Referenced as a hyperscaler with clearer AI investment visibility through cloud services, but no specific company developments or sentiment drivers are mentioned."
ecae9f2616f6f26469cfb1c85da552721ddc468b4115975913ebbb0378a8d02e,MSFT,Investing.com,AI Rocked Software Stocks and These 7.5% Dividend Payers Are Cashing In,Brett Owens,2026-02-17,"New AI tools that can build entire applications autonomously have pressured software stocks like Microsoft and Salesforce. However, the article argues this represents a long-term productivity unlock that will boost GDP growth. The author recommends two closed-end funds (SPXX and QQQX) that use covered-call strategies to generate 7.5-8% yields while providing portfolio volatility protection, and mentions a third fund yielding 11%.",negative,"Stock tumbled due to concerns that AI can build software for free, potentially reducing demand for Microsoft's software products"
9808c92222c6477504170dc5df1c1f0aad25134acfd75e7875c5970a23f10a41,MSFT,The Motley Fool,This Dirt Cheap Stock Is Expected to Quadruple Its Earnings This Year,Adam Spatacco,2026-02-17,"Micron Technology is positioned to benefit significantly from AI infrastructure buildout as hyperscalers increase memory and storage demand. The company's earnings are expected to grow over 340% in fiscal 2026, with Wall Street projecting potential stock appreciation of 100% as valuations normalize relative to peers.",positive,"Identified as a hyperscaler accelerating AI capital expenditures, driving demand for GPU clusters and memory solutions."
b6979bc00ab6961235e33ffd2e6fb5e515e6abc8e57562600be6cb6cf4060326,MSFT,Investing.com,Microsoft: Major Support Coming In,Petros Steriotis,2026-02-17,Technical analyst Petros Steriotis identifies a major trendline support level for Microsoft at $400 on a 3-year weekly chart. The analyst notes that market behavior at this support level will be crucial for assessing tech sector risk appetite.,neutral,"The article presents a technical observation about an important support level at $400 without making a bullish or bearish prediction. The analyst is highlighting a key price level to watch, suggesting the outcome depends on how the market behaves at this point, which is neither inherently positive nor negative."
cde4cdda3d28efec940eaa555e5978d4e8654fc8ca4fd4d10498c00b65c76888,AMZN,GlobeNewswire Inc.,"Autonomous Vehicles Strategic Intelligence Report 2025: Market to Consolidate Around a Small Set of Well-capitalized First Movers-especially Baidu (Apollo Go), Waymo, Zoox, WeRide, and Pony.ai",Researchandmarkets.Com,2026-02-17,"The autonomous vehicle market is consolidating around a few well-capitalized leaders including Baidu, Waymo, Zoox, WeRide, and Pony.ai. Global robotaxi fleets are expected to exceed 10,000 Level 4 capable vehicles by end of 2025, with growth concentrated in China, parts of the US, and Gulf states. Level 5 autonomy remains a distant goal, while Level 2 ADAS is becoming standard. China has tightened regulations following safety incidents, requiring OTA approval and restricting autonomous driving marketing claims.",positive,"Parent company of Zoox, which is identified as one of the five leading first-mover companies in autonomous vehicles."
a1857295e27e17c65119d096c25548d195529c984f6e76977762fa70669dca58,AMZN,The Motley Fool,"Billionaire Investor Bill Ackman Just Dumped His Fund's Stake in Hilton and Piled Into a ""Magnificent Seven"" Stock Trading at a ""Deeply Discounted Valuation.""",Bram Berkowitz,2026-02-17,"Bill Ackman's Pershing Square Capital Management exited its long-term position in Hilton Hotels due to valuation concerns, and invested approximately $2 billion in Meta Platforms as a new position representing 10% of the fund's capital. Ackman believes Meta's high AI capital expenditures are masking its long-term potential and that the stock trades at a deeply discounted valuation for a world-class business.",neutral,"Mentioned as one of three Magnificent Seven holdings in Pershing's portfolio, but no new position changes or specific commentary provided in the article."
a8ff48c8dc7260425689a8e80f441c977e41a91a97bf060dea9a63f8901c6b4b,AMZN,The Motley Fool,Subscription Prices Are Going Up Again,Motley Fool Staff,2026-02-17,"Subscription services like Spotify, Netflix, and Disney+ are raising prices again, successfully improving profitability despite concerns about unlimited pricing power. Meanwhile, retail sales came in below expectations at 2.4% growth, reflecting a K-shaped economy where wealthy consumers drive spending while lower-income households struggle. Unity Software plummeted 30% after providing weak guidance despite beating earnings, as investors fear AI disruption from tools like Google's Project Genie.",neutral,Mentioned as conducting AI-related layoffs but no specific earnings or performance data provided in article.
b43356a2ef8c912db420e8f4b13bc7e98babd3fab057b58c184fdef8b1caeecf,AMZN,The Motley Fool,AI Capital Expenditure (Capex) Is Off the Charts: Who Stands to Lose?,Motley Fool Staff,2026-02-17,"Big Tech companies are spending approximately $400 billion on AI infrastructure over four quarters in a 'scorched earth' competition to dominate AI. While companies like Alphabet are using massive spending to prevent disruption, concerns arise about whether this spending will generate adequate returns. Companies like CoreWeave face higher bankruptcy risk due to heavy debt reliance, while Oracle's strategy is more sustainable given its stable business foundation, though it remains expensive at current valuations.",neutral,Late to the AI party but must spend to remain competitive. Necessary investment but unclear if they can catch up to leaders.
0a434ae80360aa75837eedc435e4a4f3c8c556025c937e86a640e2e87bcd76bd,AMZN,Investing.com,Amazon Erases a Year of Gains—2 Reasons the Market’s Wrong,Sam Quirke,2026-02-17,"Amazon stock has fallen over 12% this year and erased 12 months of gains, dropping 20% from November's all-time high. Despite sector rotation and capex concerns, the article argues the market has overreacted based on two factors: the stock's RSI hitting multi-year lows (historically preceding rallies) and analyst consensus remaining bullish with price targets around $325, implying 60% upside potential.",positive,"Despite recent sharp declines, the article presents a bullish case based on extreme technical oversold conditions (RSI in low 20s), strong historical precedent for recoveries from such levels, and consistent analyst support with high price targets ($325) implying 60% upside. The company's fundamentals remain strong with accelerating AWS growth, structural moats in e-commerce, and improved valuation metrics."
3afb0f40180347d116dbfdac674a4178250a0f2f83d3d4cbd113739959ecb363,AMZN,Investing.com,Meta Platforms Stock Slides After Earnings Pop as Ackman Builds $2B Stake,Leo Miller,2026-02-17,"Meta Platforms stock surged over 10% following strong January earnings but has since given back all gains, closing near $640 on Feb. 13 despite forecasting 30% revenue growth. Billionaire Bill Ackman's Pershing Square Capital Management has built a $2 billion stake (10% of capital), purchasing at an average price of $625, signaling confidence in Meta's AI-driven advertising strategy and long-term upside potential.",neutral,"Mentioned as a hyperscaler competitor with visible AI gains through cloud infrastructure rental, but no specific developments or sentiment indicators are discussed."
4a7889a6573989683f55b8426569010af834bcf0c1c75fe2b3958062f8cd87be,AMZN,The Motley Fool,Billionaire Bill Ackman Is Betting Big on AI -- and He Just Revealed a New $2 Billion Investment,Sean Williams,2026-02-17,"Billionaire investor Bill Ackman revealed a $2 billion investment in Meta Platforms through his fund Pershing Square Capital Management, making it his fourth-largest holding. Over half of Ackman's portfolio is now invested in AI stocks, including Uber, Alphabet, Amazon, and Meta. Ackman believes Meta's AI-enhanced advertising platform and social media dominance represent an undervalued opportunity with strong long-term growth potential.",positive,"AWS is the global No. 1 cloud infrastructure platform. Generative AI and large language model tools have reaccelerated AWS sales growth. Despite being only 18% of net sales, AWS accounts for nearly 57% of operating income, demonstrating strong profitability."
9808c92222c6477504170dc5df1c1f0aad25134acfd75e7875c5970a23f10a41,AMZN,The Motley Fool,This Dirt Cheap Stock Is Expected to Quadruple Its Earnings This Year,Adam Spatacco,2026-02-17,"Micron Technology is positioned to benefit significantly from AI infrastructure buildout as hyperscalers increase memory and storage demand. The company's earnings are expected to grow over 340% in fiscal 2026, with Wall Street projecting potential stock appreciation of 100% as valuations normalize relative to peers.",positive,"Hyperscaler increasing AI infrastructure investments, creating demand for memory and storage solutions."
1d25bbdbeb3c6e077bb861cdbce12ab2e42bcbf6020d48abe4cfdf12c1a319cc,AMZN,Investing.com,S&P 500: Rotation Trade Deepens as Value Challenges Mega Cap Run,Brian Gilmartin,2026-02-17,"The market is experiencing a significant rotation from growth to value stocks in Q1 2026, with consumer staples like Walmart and Costco leading the charge. The S&P 500 remains below 7,000 as mega-cap tech stocks face headwinds from AI disruption concerns and massive capex spending. Walmart's upcoming earnings report is viewed as a key indicator for the sustainability of this value-led rally.",negative,Mega-cap growth stock losing leadership position as market rotates to value; affected by AI capex concerns
5ce47f57fcc585fe57bbc7c67040aa17cc469b8eb9df675347016f2c07875d57,AMZN,The Motley Fool,A Once-in-a-Decade Investment Opportunity: 1 Magnificent Artificial Intelligence (AI) Software Stock to Buy Hand Over Fist Right Now,Adam Spatacco,2026-02-17,"Amazon stock has declined 14% year-to-date amid investor concerns over its $200 billion AI infrastructure spending plan for 2026. However, the article argues this represents a buying opportunity, highlighting AWS's strong 24% YoY revenue growth, $244 billion backlog, and strategic AI partnerships with Anthropic. The author contends Amazon is building a vertically integrated AI stack that positions it well for enterprise AI adoption.",positive,"Despite near-term headwinds from increased capex spending, the article presents a bullish case citing AWS's accelerating growth (24% YoY), strong backlog ($244B), high profit margins (mid-30%), and strategic AI positioning through Anthropic partnership. Author views current stock price as undervalued relative to long-term AI opportunity."
